iter	RMSE
470	497112.6717
471	496859.6442
472	496642.0632
473	496308.9068
474	495729.4524
475	495319.0857
476	495149.653
477	494708.6363
478	494361.4756
479	494030.7487
480	493875.5129
481	493568.9383
482	493265.6366
483	492802.2747
484	492482.1977
485	492098.058
486	491881.4604
487	491670.0492
488	491517.4037
489	491255.9069
490	490850.7973
491	490569.9415
492	490174.2153
493	489893.0976
494	489686.4159
495	489456.9894
496	489144.2726
497	488815.4789
498	488506.7754
499	488216.6007
500	488074.4387
501	488056.4766
502	487837.2046
503	487551.5895
504	486947.5479
505	486487.473
506	486197.4847
507	485783.8514
508	485521.322
509	485005.0046
510	484805.7628
511	484363.3042
512	483940.3988
513	483738.5451
514	483474.6907
515	483315.3208
516	483071.3007
517	482684.7191
518	482312.8073
519	482009.9813
520	481862.3086
521	481582.5131
522	481068.4587
523	480930.0649
524	480493.6879
525	480220.8975
526	479973.7178
527	479730.0702
528	479478.3483
529	479264.7263
530	478935.1801
531	478757.6822
532	478524.1524
533	478348.8902
534	478250.0658
535	478096.2324
536	477639.2262
537	477196.0693
538	476824.953
539	476608.2136
540	476201.3526
541	475945.6091
542	475673.4374
543	475229.5358
544	474990.0253
545	474728.2351
546	474566.1609
547	474414.8874
548	474010.4906
549	473808.111
550	473561.9461
551	473356.2513
552	473126.4238
553	472959.3812
554	472678.7886
555	472359.6473
556	471853.0372
557	471652.3346
558	471500.7067
559	471184.9831
560	471022.8657
561	470907.3062
562	470695.6159
563	470290.6579
564	469962.2327
565	469632.7908
566	469425.432
567	469182.2442
568	468758.2217
569	468526.408
570	468307.4112
571	468116.284
572	468008.7011
573	467834.2497
574	467558.0694
575	467393.5273
576	466957.4127
577	466580.7638
578	466449.9931
579	466104.0765
580	465772.6185
581	465540.2232
582	465496.02
583	465155.843
584	464855.4842
585	464752.9613
586	464544.2813
587	464376.1691
588	464007.8546
589	463835.3919
590	463537.8214
591	463259.6255
592	463009.5175
593	462906.4817
594	462581.5278
595	462205.1771
596	461812.028
597	461464.9279
598	461106.6303
599	460753.214
600	460423.1068
601	460208.294
602	460077.5752
603	459709.9132
604	459501.5513
605	459174.033
606	458969.6352
607	458691.5804
608	458486.1791
609	458153.483
610	457990.6605
611	457760.2926
612	457354.2774
613	457038.9012
614	456845.9656
615	456731.812
616	456444.6773
617	456164.6099
618	455863.6316
619	455540.1677
620	455334.2037
621	454926.9907
622	454632.2218
623	454245.0299
624	454012.2199
625	453793.5717
626	453510.098
627	453231.5553
628	452921.9927
629	452744.5025
630	452483.0697
631	452192.4453
632	451770.5569
633	451523.1687
634	451312.876
635	450990.3388
636	450945.1075
637	450719.0246
638	450440.1967
639	450067.7835
640	449867.2527
641	449649.0124
642	449294.6207
643	449123.5386
644	448947.5967
645	448685.4321
646	448414.9179
647	448146.0336
648	447921.5917
649	447640.5533
650	447393.8241
651	447081.5751
652	446905.3743
653	446687.0067
654	446380.7356
655	446241.0421
656	446102.1856
657	445996.7869
658	445766.2197
659	445570.3036
660	445336.5131
661	445126.8749
662	444948.8419
663	444638.0966
664	444471.2445
665	444098.1034
666	443910.8608
667	443721.6771
668	443446.1967
669	443281.644
670	443215.0327
671	443040.4787
672	442762.466
673	442582.3282
674	442197.7517
675	442027.8255
676	441810.7928
677	441492.578
678	441250.3694
679	441091.8445
680	440730.9535
681	440526.733
682	440330.4764
683	439979.6394
684	439819.5483
685	439748.8349
686	439520.3476
687	439293.7067
688	439106.0153
689	438967.5886
690	438799.3056
691	438608.9067
692	438419.0089
693	438304.9244
694	438013.8234
695	437789.4151
696	437566.5396
697	437328.7865
698	437058.8427
699	436820.6996
700	436573.1582
701	436339.8251
702	436148.1758
703	435787.864
704	435573.8784
705	435473.1569
706	435290.8422
707	435099.2889
708	434833.3639
709	434639.1519
710	434440.0248
711	434355.8122
712	433912.614
713	433764.8311
714	433588.504
715	433367.1907
716	433204.7027
717	433155.1212
718	432974.438
719	432738.8648
720	432566.856
721	432408.0102
722	432307.4665
723	432168.5556
724	432042.3262
725	431964.8315
726	431764.2242
727	431681.9544
728	431387.2407
729	430980.6347
730	430653.742
731	430427.6785
732	430078.7488
733	429840.7314
734	429465.4852
735	429218.3086
736	429028.6677
737	428870.9529
738	428362.8326
739	428199.7975
740	428023.9503
741	427774.9198
742	427547.1397
743	427320.807
744	427115.0394
745	426841.2268
746	426653.3617
747	426440.8091
748	426254.047
749	426183.65
750	426077.5398
751	425858.4394
752	425707.6225
753	425490.2832
754	425338.8467
755	424980.8633
756	424811.8334
757	424573.1719
758	424240.784
759	424110.1009
760	423908.8441
761	423794.7202
762	423474.8986
763	423423.1891
764	423199.4255
765	422882.3969
766	422750.0962
767	422638.501
768	422372.0747
769	422235.5597
770	422043.9471
771	421881.5795
772	421713.8616
773	421449.2561
774	421201.388
775	420954.813
776	420771.0168
777	420659.4236
778	420365.7831
779	420134.809
780	419835.5824
781	419570.7413
782	419242.4509
783	419067.3923
784	418923.8887
785	418608.2716
786	418340.713
787	418174.9668
788	417987.1702
789	417771.2129
790	417526.6007
791	417378.3284
792	417280.6739
793	417046.4189
794	416956.5968
795	416783.591
796	416629.9396
797	416376.4409
798	416142.0091
799	415897.2143
800	415801.3211
801	415583.9238
802	415481.1073
803	415336.5405
804	415245.069
805	415090.9112
806	414808.8781
807	414392.363
808	414213.4143
809	414106.9618
810	413940.593
811	413640.4951
812	413463.2287
813	413411.7727
814	413194.4863
815	412997.9297
816	412619.363
817	412391.7783
818	412049.4973
819	411998.7704
820	411814.222
821	411684.0457
822	411318.7561
823	411093.4085
824	410894.1693
825	410710.2102
826	410521.6038
827	410368.915
828	410163.5172
829	410019.7995
830	409739.4665
831	409555.2191
832	409310.458
833	409092.122
834	408854.0952
835	408756.9426
836	408547.0202
837	408307.9332
838	408099.9165
839	407903.9701
840	407817.5999
841	407512.572
842	407401.8115
843	407139.7859
844	407024.1089
845	406860.3524
846	406707.6257
847	406510.309
848	406359.348
849	406220.5069
850	405974.5556
851	405906.2717
852	405655.9346
853	405461.641
854	405326.67
855	405208.2217
856	405097.5528
857	404847.947
858	404696.5465
859	404531.3902
860	404411.111
861	404242.1154
862	404074.7017
863	403964.0552
864	403742.9032
865	403622.7278
866	403340.4197
867	403156.6373
868	403031.7046
869	402813.1663
870	402761.1864
871	402546.6945
872	402383.8006
873	402119.1953
874	401949.1355
875	401804.1068
876	401589.5666
877	401449.9375
878	401278.3402
879	400994.9078
880	400828.6649
881	400595.9366
882	400387.056
883	400138.2419
884	400005.2739
885	399845.5067
886	399625.7383
887	399444.3273
888	399224.3455
889	398999.0914
890	398884.8139
891	398654.8543
892	398414.5993
893	398245.4984
894	398113.5197
895	397849.1054
896	397619.1478
897	397402.7174
898	397228.381
899	397079.0961
900	396830.4776
901	396609.4309
902	396302.0661
903	396264.0185
904	396129.774
905	395994.3994
906	395860.6168
907	395623.9851
908	395509.1421
909	395458.6762
910	395290.0523
911	395125.0846
912	395011.999
913	394899.0898
914	394697.1166
915	394591.2195
916	394471.1313
917	394267.9489
918	393994.7099
919	393884.2671
920	393702.2151
921	393653.3846
922	393483.4754
923	393286.6201
924	393152.9393
925	393010.124
926	392856.7861
927	392732.5154
928	392588.7374
929	392390.8343
930	392310.4341
931	392121.1197
932	391962.6145
933	391742.2823
934	391477.9165
935	391374.2459
936	391267.2132
937	391142.3478
938	390870.3795
939	390763.3809
940	390697.3704
941	390534.6845
942	390436.2682
943	390256.9763
944	390063.2818
945	389898.6536
946	389704.4921
947	389551.6186
948	389408.3015
949	389207.1162
950	389030.8969
951	388887.0599
952	388772.6461
953	388657.2907
954	388517.047
955	388288.1892
956	388140.424
957	388016.4519
958	387858.1402
959	387636.3884
960	387391.4513
961	387222.7722
962	387014.2834
963	386925.4218
964	386732.5628
965	386555.7854
966	386378.2387
967	386185.5803
968	386051.1316
969	385874.4002
970	385749.3524
971	385587.1372
972	385381.5217
973	385208.5148
974	384964.695
975	384862.4642
976	384749.7417
977	384634.4759
978	384334.0688
979	383903.4845
980	383892.4011
981	383740.2336
982	383638.7513
983	383477.8259
984	383332.4646
985	383296.1054
986	383210.2869
987	383133.7367
988	383042.7956
989	382870.5125
990	382688.6413
991	382543.812
992	382317.7839
993	382113.8729
994	381840.8563
995	381689.6542
996	381546.0965
997	381336.4177
998	381204.1025
999	381096.3798
